컬렉션명,페이지_수,쿼리,Recall_5_평균,Recall_5_표준편차,Recall_10_평균,Recall_10_표준편차,Brute_Force_시간_ms,HNSW_시간_ms
collection_0041_40000pages,40000,컴퓨터 비전 알고리즘,1.0,0.0,0.9,0.0,2709.9319299062095,9.862343470255533
collection_0041_40000pages,40000,강화학습 기법,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,2678.0783335367837,7.929563522338867
collection_0041_40000pages,40000,신경망 아키텍처,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,2684.029976526896,4.843235015869141
collection_0060_59000pages,40000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,2843.1362311045327,19.50391133626302
collection_0060_59000pages,40000,자연어 처리 기술,0.8000000000000002,1.1102230246251565e-16,0.6,0.0,2650.9852409362793,5.309343338012695
collection_0060_59000pages,40000,컴퓨터 비전 알고리즘,1.0,0.0,0.6999999999999998,1.1102230246251565e-16,2682.1281909942627,3.9877891540527344
collection_0060_59000pages,40000,강화학습 기법,1.0,0.0,1.0,0.0,2688.5010401407876,3.6515394846598306
collection_0060_59000pages,40000,신경망 아키텍처,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,2666.184107462565,5.815823872884114
collection_0042_41000pages,41000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,2752.3213227589927,17.615238825480144
collection_0042_41000pages,41000,자연어 처리 기술,0.6,0.0,0.4000000000000001,5.551115123125783e-17,2762.3132864634194,7.60340690612793
collection_0042_41000pages,41000,컴퓨터 비전 알고리즘,1.0,0.0,0.9,0.0,2669.435501098633,1.844485600789388
collection_0042_41000pages,41000,강화학습 기법,1.0,0.0,1.0,0.0,2708.994468053182,5.6031545003255205
collection_0042_41000pages,41000,신경망 아키텍처,0.6,0.0,0.6999999999999998,1.1102230246251565e-16,2722.4427858988442,1.7070770263671875
collection_0043_42000pages,42000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,2940.3367837270102,12.169122695922852
collection_0043_42000pages,42000,자연어 처리 기술,0.4000000000000001,5.551115123125783e-17,0.3,0.0,2805.118481318156,0.0
collection_0043_42000pages,42000,컴퓨터 비전 알고리즘,1.0,0.0,0.6999999999999998,1.1102230246251565e-16,2804.4541676839194,1.3464291890462239
collection_0043_42000pages,42000,강화학습 기법,1.0,0.0,1.0,0.0,2851.630131403605,9.55510139465332
collection_0043_42000pages,42000,신경망 아키텍처,0.6,0.0,0.6,0.0,2797.8310585021973,10.249455769856771
collection_0044_43000pages,43000,딥러닝 모델의 성능 향상 방법,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,2884.6961657206216,15.89194933573405
collection_0044_43000pages,43000,자연어 처리 기술,0.6,0.0,0.5,0.0,2834.711949030558,0.8389155069986979
collection_0044_43000pages,43000,컴퓨터 비전 알고리즘,1.0,0.0,1.0,0.0,2842.3988819122314,4.245678583780925
collection_0044_43000pages,43000,강화학습 기법,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,2928.9960861206055,0.0
